[27Nov2024 19:29:17.777] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 43.4.2, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[27Nov2024 19:29:17.781] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 21.0.4 by Microsoft; OS Linux arch amd64 version 6.5.0-1025-azure
[27Nov2024 19:29:18.062] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/workspaces/Zombies-server/servidor_minecraft/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2363!/ Service=ModLauncher Env=SERVER
[27Nov2024 19:29:18.415] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Zombies-server/servidor_minecraft/libraries/net/minecraftforge/fmlcore/1.19.2-43.4.2/fmlcore-1.19.2-43.4.2.jar is missing mods.toml file
[27Nov2024 19:29:18.416] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Zombies-server/servidor_minecraft/libraries/net/minecraftforge/javafmllanguage/1.19.2-43.4.2/javafmllanguage-1.19.2-43.4.2.jar is missing mods.toml file
[27Nov2024 19:29:18.418] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Zombies-server/servidor_minecraft/libraries/net/minecraftforge/lowcodelanguage/1.19.2-43.4.2/lowcodelanguage-1.19.2-43.4.2.jar is missing mods.toml file
[27Nov2024 19:29:18.419] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file /workspaces/Zombies-server/servidor_minecraft/libraries/net/minecraftforge/mclanguage/1.19.2-43.4.2/mclanguage-1.19.2-43.4.2.jar is missing mods.toml file
[27Nov2024 19:29:18.575] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: Found 2 dependencies adding them to mods collection
[27Nov2024 19:29:20.397] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[27Nov2024 19:29:20.472] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments []
[27Nov2024 19:29:20.517] [main/WARN] [mixin/]: Reference map 'ambientsounds.mixins.refmap.json' for ambientsounds.mixins.json could not be read. If this is a development environment you can ignore this message
[27Nov2024 19:29:25.673] [main/INFO] [net.minecraft.util.datafix.DataFixers/]: Building unoptimized datafixer
[27Nov2024 19:29:27.873] [modloading-worker-0/INFO] [dev.architectury.networking.forge.NetworkManagerImpl/]: Registering C2S receiver with id architectury:sync_ids
[27Nov2024 19:29:27.874] [modloading-worker-0/INFO] [realmayus.aquatictorches.AquaticTorches/]: Aquatic Torches loaded.
[27Nov2024 19:29:27.906] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 43.4.2, for MC 1.19.2 with MCP 20220805.130853
[27Nov2024 19:29:27.907] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v43.4.2 Initialized
[27Nov2024 19:29:27.955] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/Zombies-server/servidor_minecraft/config/appleskin-client.toml is not correct. Correcting
[27Nov2024 19:29:27.957] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key client was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.982] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.aggro_mobs.enabled was corrected from null to its default, true. 
[27Nov2024 19:29:30.982] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.aggro_mobs.angerHostileMobs was corrected from null to its default, true. 
[27Nov2024 19:29:30.982] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.aggro_mobs.unsilencedRange was corrected from null to its default, 20.0. 
[27Nov2024 19:29:30.983] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.aggro_mobs.exemptMobs was corrected from null to its default, []. 
[27Nov2024 19:29:30.983] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.missiles was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.984] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.missiles.explosionRadius was corrected from null to its default, 5.0. 
[27Nov2024 19:29:30.984] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.grenades was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.984] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.grenades.explosionRadius was corrected from null to its default, 5.0. 
[27Nov2024 19:29:30.985] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.985] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.985] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind.effect_criteria was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.986] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind.effect_criteria.radius was corrected from null to its default, 15.0. 
[27Nov2024 19:29:30.986] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind.effect_criteria.durationMax was corrected from null to its default, 220. 
[27Nov2024 19:29:30.987] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind.effect_criteria.durationMin was corrected from null to its default, 10. 
[27Nov2024 19:29:30.987] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind.effect_criteria.angleEffect was corrected from null to its default, 170.0. 
[27Nov2024 19:29:30.987] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind.effect_criteria.angleAttenuationMax was corrected from null to its default, 0.75. 
[27Nov2024 19:29:30.988] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind.effect_criteria.raytraceOpaqueBlocks was corrected from null to its default, true. 
[27Nov2024 19:29:30.988] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.blind.blindMobs was corrected from null to its default, true. 
[27Nov2024 19:29:30.989] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.989] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen.effect_criteria was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.989] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen.effect_criteria.radius was corrected from null to its default, 15.0. 
[27Nov2024 19:29:30.990] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen.effect_criteria.durationMax was corrected from null to its default, 280. 
[27Nov2024 19:29:30.990] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen.effect_criteria.durationMin was corrected from null to its default, 100. 
[27Nov2024 19:29:30.991] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen.effect_criteria.angleEffect was corrected from null to its default, 360.0. 
[27Nov2024 19:29:30.991] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen.effect_criteria.angleAttenuationMax was corrected from null to its default, 0.75. 
[27Nov2024 19:29:30.991] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen.effect_criteria.raytraceOpaqueBlocks was corrected from null to its default, false. 
[27Nov2024 19:29:30.992] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.stun_grenades.deafen.panicMobs was corrected from null to its default, true. 
[27Nov2024 19:29:30.992] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.projectile_spread was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:30.992] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.projectile_spread.spreadThreshold was corrected from null to its default, 300. 
[27Nov2024 19:29:30.993] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key common.projectile_spread.maxCount was corrected from null to its default, 10. 
[27Nov2024 19:29:31.000] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/Zombies-server/servidor_minecraft/config/aquaculture-common.toml is not correct. Correcting
[27Nov2024 19:29:31.001] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key basic options was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.001] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key basic options.Enable weight for fish? Useful for fishing competitions was corrected from null to its default, false. 
[27Nov2024 19:29:31.001] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key basic options.Should fish be added as compostables for the composter/worm farm? (Based on fish, or weight if enabled) was corrected from null to its default, true. 
[27Nov2024 19:29:31.001] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key basic options.Should Aquaculture fish be able to be used to breed cats & ocelots? was corrected from null to its default, true. 
[27Nov2024 19:29:31.003] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key basic options.Amount of Message In A Bottle messages was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.003] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key basic options.Amount of Message In A Bottle messages. Used to add additional custom messages was corrected from null to its default, 29. 
[27Nov2024 19:29:31.003] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key basic options.Enable debug mode? (Enables additional logging) was corrected from null to its default, false. 
[27Nov2024 19:29:31.003] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key basic options.Show Fillet recipes in JEI? was corrected from null to its default, true. 
[27Nov2024 19:29:31.004] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key neptunium options was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.004] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key neptunium options.Enable recipes for Neptunium items? was corrected from null to its default, true. 
[27Nov2024 19:29:31.004] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key neptunium options.Enable recipes for Neptunium armor? was corrected from null to its default, true. 
[27Nov2024 19:29:31.005] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key neptunium options.Add Neptune's Bounty as loot? was corrected from null to its default, true. 
[27Nov2024 19:29:31.009] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/Zombies-server/servidor_minecraft/config/artifacts-common.toml is not correct. Correcting
[27Nov2024 19:29:31.010] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key artifact_rarity was corrected from null to its default, 1.0. 
[27Nov2024 19:29:31.011] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.011] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite.mimic_chance was corrected from null to its default, 0.3. 
[27Nov2024 19:29:31.011] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite.use_modded_chests was corrected from null to its default, true. 
[27Nov2024 19:29:31.012] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite.count was corrected from null to its default, 4. 
[27Nov2024 19:29:31.012] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite.rarity was corrected from null to its default, 1. 
[27Nov2024 19:29:31.012] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite.min_y was corrected from null to its default, -60. 
[27Nov2024 19:29:31.012] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite.max_y was corrected from null to its default, 40. 
[27Nov2024 19:29:31.013] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite.scan_range was corrected from null to its default, 8. 
[27Nov2024 19:29:31.013] [main/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key campsite.max_ceiling_height was corrected from null to its default, 6. 
[27Nov2024 19:29:31.236] [main/INFO] [Framework/SYNCED_ENTITY_DATA]: Registered synced data key cgm:aiming for minecraft:player
[27Nov2024 19:29:31.237] [main/INFO] [Framework/SYNCED_ENTITY_DATA]: Registered synced data key cgm:reloading for minecraft:player
[27Nov2024 19:29:31.237] [main/INFO] [Framework/SYNCED_ENTITY_DATA]: Registered synced data key cgm:shooting for minecraft:player
[27Nov2024 19:29:31.340] [Forge Version Check/INFO] [net.minecraftforge.fml.VersionChecker/]: [additionalguns] Starting version check at https://raw.githubusercontent.com/HaloOfBlocks/VersionChecker/main/additionalguns/update.json
[27Nov2024 19:29:31.470] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Configuration file /workspaces/Zombies-server/servidor_minecraft/config/badmobs-common.toml is not correct. Correcting
[27Nov2024 19:29:31.471] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.471] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.allay was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.472] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.allay.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.472] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.allay.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.472] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.allay.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.473] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.allay.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.473] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.allay.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.476] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.area_effect_cloud was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.478] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.area_effect_cloud.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.478] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.area_effect_cloud.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.479] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.area_effect_cloud.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.480] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.area_effect_cloud.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.480] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.area_effect_cloud.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.481] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.armor_stand was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.481] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.armor_stand.allowNormalSpawning was corrected from null to its default, true. 
[27Nov2024 19:29:31.482] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.armor_stand.allowSpawners was corrected from null to its default, true. 
[27Nov2024 19:29:31.484] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.armor_stand.allowSpawnEggs was corrected from null to its default, true. 
[27Nov2024 19:29:31.484] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.armor_stand.allowConversions was corrected from null to its default, true. 
[27Nov2024 19:29:31.486] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.armor_stand.removeAggressively was corrected from null to its default, false. 
[27Nov2024 19:29:31.486] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.arrow was corrected from null to its default, SimpleCommentedConfig:{}. 
[27Nov2024 19:29:31.488] [modloading-worker-0/WARN] [net.minecraftforge.common.ForgeConfigSpec/CORE]: Incorrect key minecraft.arrow.allowNormalSpawning was corrected from null to its default, true. 
